City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
Whitehall,Ohio,United States,43218,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Haidian,Beijing,China,,39.9,116.33,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,
Whitehall,Ohio,United States,43218,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
São Paulo,São Paulo,Brazil,01000-000,-23.56,-46.64,America/Sao_Paulo,V tal,V tal,AS7738 V tal
Frankfurt am Main,Hesse,Germany,60313,50.12,8.68,Europe/Berlin,COLT Technology Services Group Limited,COLT Telecom,AS8220 COLT Technology Services Group Limited
,,,,,,,,,
,,,,,,,,,
Hamburg,Free and Hanseatic City of Hamburg,Germany,20038,53.55,9.99,Europe/Berlin,TNG Stadtnetz GmbH,Ftth Wedelnet Com,AS13101 TNG Stadtnetz GmbH
Des Moines,Iowa,United States,50309,41.59,-93.62,America/Chicago,Microsoft Corporation,Microsoft Azure Cloud (centralus),AS8075 Microsoft Corporation
,,,,,,,,,
Fuengirola,Andalusia,Spain,29640,36.55,-4.61,Europe/Madrid,Telefonica de Espana SAU,RIMA (Red IP Multi Acceso),AS3352 TELEFONICA DE ESPANA S.A.U.
Klaten,Central Java,Indonesia,,-7.7,110.6,Asia/Jakarta,PT. INDOSAT Tbk,IOH B2B,AS4761 INDOSAT Internet Network Provider
Seongnam-si,Gyeonggi-do,South Korea,13606,37.36,127.12,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
Dublin,Ohio,United States,43017,40.1,-83.11,America/New_York,"Amazon.com, Inc.",AWS EC2 (us-east-2),"AS16509 Amazon.com, Inc."
Sydney,New South Wales,Australia,1001,-33.87,151.21,Australia/Sydney,Telstra Internet,,AS1221 Telstra Corporation Ltd
