Region,Country,ISP,Organization,Autonomous System,Postal Code,Latitude,Longitude,count
California,United States,HostRoyale Technologies Pvt Ltd,HostRoyale LLC,AS203020 HostRoyale Technologies Pvt Ltd,94***,37.77,-122.42,1
California,United States,Intercontinental Internet Data Corp,Cloud Innovation Ltd,AS35916 MULTACOM CORPORATION,90***,34.05,-118.24,1
California,United States,Microsoft Corporation,Microsoft Azure Cloud (westus),AS8075 Microsoft Corporation,94***,37.78,-122.42,2
California,United States,Northrop Grumman,TRW Space and Defense Sector,AS1906 Northrop Grumman,90***,33.79,-118.12,1
California,United States,"Salesforce.com, Inc.","Salesforce.com, Inc.","AS14340 Salesforce.com, Inc.",94***,37.79,-122.4,1
California,United States,Sprint Communications,Sprint Kansas City POP,AS1239 Sprint,92***,33.84,-117.92,1
California,United States,The Constant Company,"Vultr Holdings, LLC","AS20473 The Constant Company, LLC",95***,37.39,-121.96,1
California,United States,University of California at Berkeley,University of California at Berkeley,AS25 University of California at Berkeley,94***,37.87,-122.26,1
California,United States,"University of California, San Diego",Amateur Radio Digital Communications,"AS7377 University of California, San Diego",92***,32.82,-117.18,5
California,United States,"University of California, San Diego",Amateur Radio Digital Communications,"AS7377 University of California, San Diego",93***,36.78,-119.42,1
California,United States,Verizon Business,Cellco Partnership DBA Verizon Wireless,AS6167 Verizon Business,92***,32.76,-117.07,1
California,United States,Verizon Business,Cellco Partnership DBA Verizon Wireless,AS6167 Verizon Business,92***,34.01,-117.44,1
California,United States,"Wayport, LLC","Wayport, Inc.",AS14654 AT&T Corp.,90***,34.05,-118.24,1
California,United States,"Zoom Video Communications, Inc","Zoom Video Communications, Inc","AS30103 Zoom Video Communications, Inc",95***,37.33,-121.9,1
Capital Region,Denmark,Telenor Denmark,Cybercity A/S,AS9158 Telenor A/S,26**,55.69,12.46,1
Capital Region,Iceland,Nova hf,Nova ehf,AS44735 Nova hf,10*,64.11,-21.84,1
Carinthia,Austria,Universitaet Klagenfurt,Universitaet Klagenfurt,AS1111 Universitaet Klagenfurt,90**,46.62,14.3,1
Castille-La Mancha,Spain,Telefonica de Espana SAU,RIMA (Red IP Multi Acceso),AS3352 TELEFONICA DE ESPANA S.A.U.,45***,39.86,-4.02,1
Castille-La Mancha,Spain,Telefonica de Espana SAU,RIMA (Red IP Multi Acceso),AS3352 TELEFONICA DE ESPANA S.A.U.,45***,39.96,-4.82,1
Catalonia,Spain,"VODAFONE ONO, S.A",Ono,"AS6739 VODAFONE ONO, S.A.",80**,41.39,2.2,1
Catalonia,Spain,Vodafone Espana S.A.U.,Vodafone Espana S.A.U,AS12430 VODAFONE ESPANA S.A.U.,80**,41.43,2.22,1
Ceará,Brazil,Secretaria Municipal De Planejamento Orcamento E G,Secretaria Municipal De Planejamento Orcamento E G,AS269175 SECRETARIA MUNICIPAL DE PLANEJAMENTO ORCAMENTO E G,60***,-3.71,-38.53,1
Central Jutland,Denmark,Stofa A/S,Energiranderstele Customer and Internal Addr,AS8273 Norlys Digital A/S,89**,56.48,9.97,1
Central Singapore,Singapore,Amazon Technologies Inc.,AWS EC2 (ap-southeast-1),"AS16509 Amazon.com, Inc.",48***,1.28,103.85,2
Central Singapore,Singapore,Microsoft Corporation,Microsoft Azure Resource Manager (southeastasia),AS8075 Microsoft Corporation,16****,1.28,103.83,1
Central Singapore,Singapore,OVH SAS,OVH Singapore PTE. LTD,AS16276 OVH SAS,69***,1.28,103.85,1
Central Singapore,Singapore,"Singapore Telecommunications Ltd, Magix Services",SingNet Pte Ltd,AS9506 Singtel Fibre Broadband,14****,1.29,103.81,1
Central Singapore,Singapore,StarHub Cable Vision Ltd,SGCABLEVISION,AS55430 Starhub Ltd,13****,1.29,103.79,1
Central Singapore,Singapore,Starhub Internet Pte Ltd,Starhub Internet Pte Ltd,AS4657 StarHub Ltd,40****,1.32,103.89,1
Central and Western District,Hong Kong,Microsoft Corporation,Microsoft Azure Cloud (eastasia),AS8075 Microsoft Corporation,0****,22.27,114.19,1
Centre-Val de Loire,France,Proxad / Free SAS,ProXad network / Free,AS12322 Free SAS,37***,47.37,0.48,1
Chelyabinsk Oblast,Russia,"JSC ""Uralsvyazinform"" Chelyabinsk",Chelyabinsk Network Informational Center,AS12389 PJSC Rostelecom,45****,55.16,61.4,1
Chiang Mai,Thailand,CAT Telecom Public Company Limited,Data Comm. Dept. National Telecom Public Company Limited,"AS9931 The Communication Authoity of Thailand, CAT",50***,18.79,99.0,1
Chiba,Japan,296 BROAD NET Com Inc,CABLENET296,AS17682 296 BROAD NET Com Inc,28******,35.69,140.16,1
