Region,Country,ISP,Organization,Autonomous System,Postal Code,Latitude,Longitude,count
Jujuy,Argentina,TV MUSIC HOUSE JUJUY,TV MUSIC HOUSE JUJUY,AS52312 TV MUSIC HOUSE JUJUY,46**,-24.2,-65.18,1
Jujuy,Argentina,Telecom Argentina S.A.,Telecom Argentina S.A,AS7303 Telecom Argentina S.A.,45**,-23.67,-64.47,1
Kanagawa,Japan,Kddi Corporation,KDDI,AS2516 KDDI CORPORATION,23******,35.23,139.69,1
Kanagawa,Japan,NTT Communications Corporation,Open Computer Network,AS4713 NTT Communications Corporation,24******,35.42,139.55,1
Kanagawa,Japan,Shonan Cable Network,Shonan Cable Network,AS131918 SHONAN CABLE NETWORK,25******,35.33,139.35,1
Kanagawa,Japan,Softbank BB Corp.,SOFTBANK Corp,AS17676 SoftBank Corp.,23******,35.44,139.66,1
Kanagawa,Japan,UCOM Corp.,UCOM Corporation,AS17506 ARTERIA Networks Corporation,22******,35.56,139.53,1
Kanagawa,Japan,UCOM Corp.,broadgate,AS17506 ARTERIA Networks Corporation,22******,35.46,139.63,1
Kanagawa,Japan,Yokohama City University,Yokohama City University,"AS2907 Research Organization of Information and Systems, National Institute of Informatics",23******,35.43,139.65,1
Kansas,United States,Charter Communications,Spectrum,AS11427 Charter Communications Inc,66***,38.95,-94.68,1
Kansas,United States,Clearwave Communications,Clearwave Communications,AS11448 Clearwave Communications,66***,38.79,-95.23,1
Kansas,United States,Cox Communications Inc.,Cox Communications Inc.,AS22773 Cox Communications Inc.,66***,39.05,-95.71,1
Kansas,United States,HamWAN,Amateur Radio Digital Communications,AS63479 HamWAN,67***,37.09,-95.71,2
Kansas,United States,Kansas Research and Education Network,Kansas Research and Education Network,AS2495 Kansas Research and Education Network,66***,38.97,-95.24,1
Karnataka,India,BSNL Internet,Quadgen WiFi Project C/O Addl GM P3 Bangalore,AS9829 National Internet Backbone,56****,13.01,77.56,1
Kentucky,United States,"AT&T Services, Inc.",Private Customer - AT&T Internet Services,"AS7018 AT&T Services, Inc.",40***,38.21,-84.55,1
Kentucky,United States,East Kentucky Network,Appalachian Wireless,"AS36610 East Kentucky Network, LLC.",41***,37.66,-82.76,1
Kentucky,United States,Eastern Kentucky University,Eastern Kentucky University,AS13327 Eastern Kentucky University,40***,37.75,-84.3,1
Kentucky,United States,Fuse Internet Access,FUSE ADSL Ports - CNESR1,AS6181 Cincinnati Bell Telephone Company LLC,41***,38.93,-84.55,1
Kentucky,United States,Level 3,Plamp-keen Agency Inc,"AS3549 Level 3 Parent, LLC",40***,38.41,-85.58,1
Kentucky,United States,Mikrotec Internet Services,Mikrotec Internet Services,AS3801 Mikrotec Internet Services,41***,37.52,-82.52,1
Kentucky,United States,Spectrum,Road Runner,AS10796 Charter Communications Inc,40***,37.99,-84.38,1
Kentucky,United States,Verizon Business,Lumenis LTD,AS701 Verizon Business,40***,38.2,-85.66,1
Kentucky,United States,Windstream Communications LLC,Live Oak Alltel dial customers,AS7029 Windstream Communications LLC,41***,38.57,-83.56,1
Kentucky,United States,Windstream Communications LLC,Windstream Communications LLC,AS7029 Windstream Communications LLC,40***,37.89,-84.57,1
Kerala,India,Indian Institute of Information Technology and Management - Kerala,Indian Institute of Information Technology and Management - Kerala,"AS140192 IIITM-Kerala, IIITM-K Building, Techno park Campus,Thiruvananthapuram,Kerala-695581",69****,8.56,76.88,1
Kowloon,Hong Kong,"Alibaba (US) Technology Co., Ltd.",Alibaba Cloud LLC,"AS45102 Alibaba (US) Technology Co., Ltd.",96***,22.32,114.17,1
Kowloon,Hong Kong,Greacon Limited,Mall Ltd,AS208770 Greacon Limited,96***,22.32,114.17,1
Kowloon City,Hong Kong,Pccw IMS,PCCW Limited,AS4760 HKT Limited,96***,22.29,114.16,1
Krasnodar Krai,Russia,Dmitriy V. Kozmenko,Dmitriy V. Kozmenko,AS47586 Business Svyaz,35****,43.6,39.72,1
Kuala Lumpur,Malaysia,Akamai International B.V.,"Akamai Technologies, Inc.",AS20940 Akamai International B.V.,50***,3.14,101.69,1
Kuala Lumpur,Malaysia,Global Transit Communications,Global Transit Communications,AS24218 Global Transit Communications - Malaysia,50***,3.15,101.71,1
Kuala Lumpur,Malaysia,TM TECHNOLOGY SERVICES SDN BHD,Adsl Streamyx,AS4788 TM TECHNOLOGY SERVICES SDN. BHD.,50***,3.14,101.69,2
Kuala Lumpur,Malaysia,TM TECHNOLOGY SERVICES SDN BHD,Adsl Streamyx,AS4788 TM TECHNOLOGY SERVICES SDN. BHD.,59***,3.12,101.67,1
Kuala Lumpur,Malaysia,TM TECHNOLOGY SERVICES SDN BHD,Streamyx Home Northern,AS4788 TM TECHNOLOGY SERVICES SDN. BHD.,50***,3.14,101.69,1
Kujawsko-Pomorskie,Poland,Netia SA,INTERNETIA,AS12741 Netia SA,86****,53.4,18.71,1
KwaZulu-Natal,South Africa,Dimension Data,Dimension Data,AS10474 Dimension Data,40**,-29.86,31.02,1
KwaZulu-Natal,South Africa,Telkom SA Ltd,Telkom Internet Broadband 105,AS37457 Telkom SA Ltd.,36**,-29.91,30.94,1
KwaZulu-Natal,South Africa,Telkom SA Ltd.,Telkom SA Limited,AS37457 Telkom SA Ltd.,44**,-29.27,31.35,1
Kyiv City,Ukraine,Bilink LLC,Bilink,AS48683 Bilink LLC,31**,50.46,30.53,1
Kyiv City,Ukraine,Lifecell UA,Turkcell LLC,"AS34058 Limited Liability Company ""lifecell""",10**,50.45,30.52,1
Kyiv Oblast,Ukraine,Maximum-Net LLC,Maximum-Net LLC,AS43139 Maximum-Net LLC,81**,50.39,30.37,1
Kyoto,Japan,"Kintetsu Cable Network Co., Ltd.","Kintetsu Cable Network, Ltd","AS18081 Kintetsu Cable Network Co., Ltd.",61******,34.85,135.79,1
Kyoto,Japan,NTT Communications Corporation,Open Computer Network,AS4713 NTT Communications Corporation,60******,35.02,135.76,1
Kyoto,Japan,OPTAGE Inc.,OPTAGE Inc.,AS17511 OPTAGE Inc.,60******,35.02,135.76,1
Kyoto,Japan,Softbank BB Corp.,SOFTBANK Corp,AS17676 SoftBank Corp.,60******,35.02,135.76,1
La Rioja,Spain,BARBI,Andres Santiago S.A.,AS3352 TELEFONICA DE ESPANA S.A.U.,26***,42.01,-1.96,1
Land Berlin,Germany,D2VODAFONE,Vodafone GmbH,AS3209 Vodafone GmbH,10***,52.55,13.41,1
Land Berlin,Germany,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,13***,52.61,13.25,1
Land Berlin,Germany,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,Freie Universitaet Berlin,AS680 Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,14***,52.46,13.28,1
Lazio,Italy,Ministero della Difesa,Ministero della Difesa,AS210026 Ministero della Difesa,18*,41.89,12.51,1
Lazio,Italy,Telecom Italia S.p.A,DATACOM,AS3269 Telecom Italia S.p.A.,18*,41.96,12.46,2
Lazio,Italy,Telecom Italia S.p.A,INTERBUSINESS,AS3269 Telecom Italia S.p.A.,18*,41.96,12.46,1
Lazio,Italy,Telecom Italia S.p.A.,INTERBUSINESS,AS3269 Telecom Italia S.p.A.,13*,41.89,12.51,1
Lazio,Italy,Telecom Italia S.p.A.,Telecom Italia SPA,AS3269 Telecom Italia S.p.A.,18*,41.89,12.4,1
Lazio,Italy,Telecom Italia S.p.A. TIN EASY LITE,INTERBUSINESS,AS3269 Telecom Italia S.p.A.,18*,41.89,12.4,1
Leinster,Ireland,Amazon Technologies Inc.,AWS EC2 (eu-west-1),"AS16509 Amazon.com, Inc.",D0*,53.35,-6.26,2
Leinster,Ireland,"Amazon.com, Inc.",AWS EC2 (eu-west-1),"AS16509 Amazon.com, Inc.",D0*,53.35,-6.26,2
Leinster,Ireland,"Amazon.com, Inc.","Trimble, Inc.","AS16509 Amazon.com, Inc.",D0*,53.35,-6.26,1
Leinster,Ireland,BellSouth.net Inc.,AWS EC2 (eu-west-1),"AS16509 Amazon.com, Inc.",D0*,53.35,-6.26,1
Leinster,Ireland,HEAnet,HEAnet,AS1213 HEAnet CLG,D0*,53.35,-6.25,1
Leinster,Ireland,Microsoft Corporation,Microsoft Azure Cloud (northeurope),AS8075 Microsoft Corporation,D0*,53.35,-6.26,1
Leinster,Ireland,ROI Subs,Hutchison 3G Ireland Ltd.,AS13280 Three Ireland (Hutchison) limited,D2*,53.28,-6.41,1
Leinster,Ireland,RTC-CARLOW,Institute of Technology Carlow,AS1213 HEAnet CLG,R9*,52.83,-6.94,1
Lima region,Peru,America Movil Peru S.A.C.,America Movil Peru S.A.C,AS12252 America Movil Peru S.A.C.,15***,-12.09,-77.01,1
Lombardy,Italy,Consortium GARR,Universita' degli Studi di Milano,AS137 Consortium GARR,20***,45.47,9.19,1
Lombardy,Italy,Hivelocity Inc,Atik Srl,AS61317 Hivelocity Inc,20***,45.61,9.24,1
Lombardy,Italy,Telecom Italia Mobile,Telecom Italia S.p.A.,AS16232 Telecom Italia S.p.A.,20***,45.46,9.19,1
Lombardy,Italy,Telecom Italia S.p.A,INTERBUSINESS,AS3269 Telecom Italia S.p.A.,20***,45.46,9.19,1
Lombardy,Italy,Telecom Italia S.p.A.,Abaco S.P.A.,AS3269 Telecom Italia S.p.A.,20***,45.46,9.19,1
Lombardy,Italy,Telecom Italia S.p.A.,INTERBUSINESS,AS3269 Telecom Italia S.p.A.,20***,45.46,9.19,1
Lombardy,Italy,Telecom Italia S.p.A. TIN EASY LITE,INTERBUSINESS,AS3269 Telecom Italia S.p.A.,20***,45.57,9.08,1
Lombardy,Italy,"University of California, San Diego",Amateur Radio Digital Communications,"AS7377 University of California, San Diego",24***,45.48,9.85,1
Louisiana,United States,AT&T Mobility LLC,AT&T Mobility LLC,AS20057 AT&T Mobility LLC,71***,31.31,-92.45,1
Louisiana,United States,"CenturyLink Communications, LLC","CenturyLink Communications, LLC","AS209 CenturyLink Communications, LLC",71***,32.59,-92.07,1
Louisiana,United States,"Level 3 Communications, Inc.","Level 3, LLC","AS3356 Level 3 Parent, LLC",71***,32.59,-92.07,11
Louisiana,United States,State of Louisiana Office of Technology Services,"Louisiana School the Math, Science, and Arts",AS2048 State of Louisiana Office of Technology Services,71***,31.75,-93.1,1
Louisiana,United States,Verizon Business,BellSouth.Net,AS701 Verizon Business,70***,29.95,-90.07,1
Lower Austria,Austria,A1 Telekom Austria AG,A1ta HSI,AS8447 A1 Telekom Austria AG,36**,48.35,15.12,1
Lower Saxony,Germany,EWE TEL GmbH,EWE TEL GmbH,AS9145 EWE TEL GmbH,26***,53.02,7.86,1
Lower Saxony,Germany,EWE TEL GmbH,EWE TEL GmbH,AS9145 EWE TEL GmbH,26***,53.42,7.73,1
Lower Silesia,Poland,Orange Polska Spolka Akcyjna,Orange Polska S.A.,AS5617 Orange Polska Spolka Akcyjna,59****,51.03,15.41,1
Lubusz,Poland,Netia SA,NETIA,AS12741 Netia SA,65****,51.94,15.51,1
Lubusz,Poland,Orange Polska Spolka Akcyjna,Orange Polska S.A.,AS5617 Orange Polska Spolka Akcyjna,67****,51.8,15.72,1
Luxembourg,Luxembourg,POST Luxembourg,EPT,AS6661 POST Luxembourg,L-****,49.61,6.13,1
Madrid,Spain,Eli Lilly and Company,Eli Lilly and Company,AS4249 Eli Lilly and Company,28***,40.42,-3.69,1
Madrid,Spain,Entidad Publica Empresarial Red.es,UPM,AS766 Entidad Publica Empresarial Red.es,28***,40.38,-3.76,1
Madrid,Spain,GTT Communications Inc.,Eptisa,AS3257 GTT Communications Inc.,28***,40.42,-3.7,1
Madrid,Spain,ITL LLC,"SIA ""Singularity Telecom""",AS59729 ITL LLC,28***,40.42,-3.69,1
Madrid,Spain,Telefonica De Espana S.A.U.,Multichoice Africa Limited,AS3352 TELEFONICA DE ESPANA S.A.U.,28***,40.42,-3.7,1
Madrid,Spain,Telefonica de Espana SAU,RIMA (Red IP Multi Acceso),AS3352 TELEFONICA DE ESPANA S.A.U.,28***,40.52,-3.66,1
Maharashtra,India,Amazon Technologies Inc.,AWS EC2 (ap-south-1),"AS16509 Amazon.com, Inc.",40****,19.08,72.88,1
Maharashtra,India,Bharti Airtel Limited,Bharti Airtel Limited,AS45609 Bharti Airtel Ltd. AS for GPRS Service,40****,19.07,72.89,1
Maharashtra,India,Bharti Airtel Limited,Bharti Airtel Ltd.,AS45609 Bharti Airtel Ltd. AS for GPRS Service,40****,19.07,72.89,1
Maharashtra,India,Microsoft Corporation,Microsoft Azure Cloud (centralindia),AS8075 Microsoft Corporation,41****,18.51,73.86,1
Maharashtra,India,Tata Communications Limited,Tata Communications Limited,AS4755 TATA Communications formerly VSNL is Leading ISP,40****,19.07,72.89,1
Maine,United States,Charter Communications,Spectrum,AS11351 Charter Communications Inc,40**,43.8,-70.42,1
Manipur,India,BHARTI,ABTS Tamilnadu,"AS24560 Bharti Airtel Ltd., Telemedia Services",79****,24.81,93.94,1
Manitoba,Canada,Bell Canada,Bell Canada,AS7122 Bell Canada,R2*,49.88,-97.13,1
Manitoba,Canada,Bell Canada,Bell Canada,AS7122 Bell Canada,R5*,49.53,-96.69,1
Manitoba,Canada,Winnipeg Internet Exchange,True North NET,AS393523 Winnipeg Internet Exchange,R2*,49.83,-97.1,1
Mariy-El Republic,Russia,"JSC ""ER-Telecom Holding""","JSC ""ER-Telecom Holding"" Yoshkar-Ola Branch","AS41786 JSC ""ER-Telecom Holding""",42****,56.64,47.9,1
Maryland,United States,"Comcast Cable Communications, LLC","Comcast Cable Communications, Inc.","AS33657 Comcast Cable Communications, LLC",21***,39.3,-76.61,1
Maryland,United States,Hughes Network Systems,"Hughes Network Systems, LLC","AS6621 Hughes Network Systems, LLC",20***,39.18,-77.25,1
Maryland,United States,Sprint Communications,Sprint Relay POP,AS1239 Sprint,21***,39.24,-76.68,1
Maryland,United States,Verizon Business,Service Provider Corporation,AS6167 Verizon Business,20***,39.07,-76.99,1
Maryland,United States,Verizon Communications,"MCI Communications Services, Inc. d/b/a Verizon Business",AS701 Verizon Business,21***,39.17,-76.64,1
Massachusetts,United States,"AT&T Services, Inc.","Parametric Technology Corp, MA","AS7018 AT&T Services, Inc.",24**,42.3,-71.21,1
Massachusetts,United States,"Akamai Technologies, Inc.",The Bank of New York Mellon Corporation,"AS32787 Akamai Technologies, Inc.",17**,42.3,-71.43,1
Massachusetts,United States,Cogent Communications,"Town of Concord, MA",AS25808 Town of Concord MA,17**,42.45,-71.37,1
Massachusetts,United States,Comcast Cable Communications,"Comcast Cable Communications Holdings, Inc","AS7015 Comcast Cable Communications, LLC",24**,42.35,-71.18,1
Massachusetts,United States,"Comcast Cable Communications, LLC","Comcast Cable Communications, Inc.","AS7015 Comcast Cable Communications, LLC",21**,42.25,-71.08,1
Massachusetts,United States,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","AS22258 Comcast Cable Communications, LLC",21**,42.29,-71.07,1
Massachusetts,United States,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","AS7015 Comcast Cable Communications, LLC",24**,42.31,-71.27,1
Massachusetts,United States,Harvard University,Harvard University,AS1742 Harvard University,21**,42.37,-71.13,1
Massachusetts,United States,Massachusetts Institute of Technology,Massachusetts Institute of Technology,AS3 Massachusetts Institute of Technology,21**,42.36,-71.1,1
Massachusetts,United States,Verizon Business,Verizon Business,AS22394 Verizon Business,21**,42.36,-71.06,1
Massachusetts,United States,Verizon Business,Verizon Business,AS22394 Verizon Business,24**,42.44,-71.22,1
Mazovia,Poland,Orange Polska Spolka Akcyjna,Telekomunikacja Polska S.A.,AS5617 Orange Polska Spolka Akcyjna,00****,52.22,21.03,1
Mazovia,Poland,PTK CENTERTEL CDMA data services,PTK-Centertel,AS5617 Orange Polska Spolka Akcyjna,02****,52.21,20.95,1
Mecklenburg-Vorpommern,Germany,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,17***,53.6,12.76,1
Mecklenburg-Vorpommern,Germany,Vodafone D2 GmbH,ARCOR-IP,AS3209 Vodafone GmbH,19***,53.43,10.74,1
Metro Manila,Philippines,Philippine Long Distance Telephone Co.,Philippine Long Distance Telephone Co,AS9299 Philippine Long Distance Telephone Company,16**,14.53,121.08,1
Metro Manila,Philippines,Philippine Long Distance Telephone Co.,Philippine Long Distance Telephone Company,AS9299 Philippine Long Distance Telephone Company,15**,14.61,121.05,1
Mexico City,Mexico,"Mexico Red de Telecomunicaciones, S. de R.L. de C.V.","Mexico Red de Telecomunicaciones, S. de R.L. de C.V","AS13591 Mexico Red de Telecomunicaciones, S. de R.L. de C.V.",11***,19.4,-99.24,1
Mexico City,Mexico,UNINET,Gestión de direccionamiento UniNet,AS8151 UNINET,11**,19.4,-99.21,1
Mexico City,Mexico,UNINET,Gestión de direccionamiento UniNet,AS8151 UNINET,74**,19.5,-99.09,1
Mexico City,Mexico,Uninet S.A. de C.V.,UNINET,AS8151 UNINET,51**,19.39,-99.26,1
Mexico City,Mexico,Uninet S.A. de C.V.,UNINET,AS8151 UNINET,67**,19.41,-99.15,1
Mexico City,Mexico,Uninet S.A. de C.V.,UNINET,AS8151 UNINET,98**,19.35,-99.09,1
Michigan,United States,Charter Communications,Spectrum,AS20115 Charter Communications,49***,41.93,-85.0,1
Michigan,United States,"Comcast Cable Communications, LLC","Comcast Cable Communications Holdings, Inc","AS33668 Comcast Cable Communications, LLC",48***,42.56,-83.18,1
Michigan,United States,FreedomNet,Amateur Radio Digital Communications,AS22829 FreedomNet,48***,42.7,-84.48,1
Michigan,United States,Great Lakes Energy Connections Inc.,Great Lakes Energy Connections Inc,AS398143 Great Lakes Energy Connections Inc.,49***,43.54,-85.75,1
Michigan,United States,Jackson National Life Insurance CO.,"Level 3, LLC",AS29841 JACKSON NATIONAL LIFE INSURANCE CO.,48***,42.33,-83.05,1
Michigan,United States,Merit Network Inc.,Merit Network Inc,AS237 Merit Network Inc.,48***,42.21,-83.74,2
Michigan,United States,Merit Network Inc.,Wayne State University,AS237 Merit Network Inc.,48***,42.36,-83.07,1
Michigan,United States,University of Michigan,Merit Network Inc.,AS36375 University of Michigan,48***,42.27,-83.73,1
Michigan,United States,WideOpenWest Finance LLC,Wide Open West,AS12083 WideOpenWest Finance LLC,48***,42.33,-83.38,1
Mie,Japan,"Chubu Telecommunications Company, Inc.","Chubu Telecommunications Co., Inc.","AS18126 Chubu Telecommunications Company, Inc.",51******,34.74,136.52,1
Mie,Japan,"Chubu Telecommunications Company, Inc.","Chubu Telecommunications Co., Inc.","AS18126 Chubu Telecommunications Company, Inc.",51******,35.05,136.67,1
Minas Gerais,Brazil,V tal,V tal,AS7738 V tal,36***,-21.74,-43.43,1
Minas Gerais,Brazil,Videomar Rede Nordeste S/A,Videomar Rede Nordeste S/A,AS28270 Videomar Rede Nordeste S/A,37***,-21.88,-46.36,1
Minnesota,United States,"Allina Health System, Inc.","Allina Health System, Inc.","AS7800 Allina Health System, Inc.",55***,44.95,-93.26,1
Minnesota,United States,Bethel University,Augsburg College,AS40497 Bethel University,55***,45.08,-93.19,1
Minnesota,United States,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","AS13367 Comcast Cable Communications, LLC",55***,44.99,-92.95,1
Minnesota,United States,General Mills,"General Mills, Inc.","AS20478 General Mills, Inc.",55***,44.98,-93.4,1
Minnesota,United States,Mayo Foundation Medical Education and Research,Mayo Foundation Medical Education and Research,AS7973 Mayo Foundation for Medical Education and Research,55***,44.05,-92.49,1
Minnesota,United States,McGladrey,"RSM McGladrey, Inc.",AS46552 McGladrey,55***,44.98,-93.27,1
Mississippi,United States,AT&T Corp.,AT&T Corp,AS6389 AT&T Corp.,39***,30.51,-88.97,1
Mississippi,United States,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",39***,32.24,-90.26,1
Mississippi,United States,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",39***,32.3,-90.18,1
Missouri,United States,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",65***,37.17,-93.3,1
Missouri,United States,"AT&T Services, Inc.",Private Customer - AT&T Internet Services,"AS7018 AT&T Services, Inc.",64***,39.1,-94.58,1
Missouri,United States,Charter Communications,Spectrum,AS20115 Charter Communications,63***,38.58,-90.52,1
Missouri,United States,Hallmark Cards Inc.,Hallmark Cards Inc.,AS22089 Hallmark Cards Inc.,64***,39.08,-94.58,1
Missouri,United States,Internet Numbers Authority,Internet Numbers Authority,AS15804 The Way Out Company,64***,38.03,-94.09,1
Missouri,United States,Sprint,Sprint Midwest Group,"AS6157 SPRINT, Business Serices Group",64***,39.08,-94.58,1
Missouri,United States,University of Missouri - dba the Missouri Research and Education Network,Lincoln University,AS2572 University of Missouri - dba the Missouri Research and Education Network (MOREnet),65***,38.57,-92.25,1
Missouri,United States,Windstream Communications LLC,Windstream Communications LLC,AS7029 Windstream Communications LLC,65***,37.61,-93.41,1
Montana,United States,Charter Communications,Spectrum,AS33588 Charter Communications,59***,45.78,-108.5,1
Montana,United States,Montana State University,Montana State University,AS13476 Montana State University,59***,45.67,-111.04,1
Montevideo Department,Uruguay,Administracion Nacional de Telecomunicaciones,Administracion Nacional de Telecomunicaciones,AS6057 Administracion Nacional de Telecomunicaciones,11***,-34.91,-56.19,1
Montevideo Department,Uruguay,Administracion Nacional de Telecomunicaciones,Administracion Nacional de Telecomunicaciones,AS6057 Administracion Nacional de Telecomunicaciones,11***,-34.91,-56.16,1
Moravskoslezsky kraj,Czechia,CZ.CZNET,Czech Telecom a.s.,"AS5610 O2 Czech Republic, a.s.",74****,49.77,17.75,1
Moravskoslezsky kraj,Czechia,Karneval Media,"UPC Ceska republika, a.s.",AS16019 Vodafone Czech Republic a.s.,70****,49.8,18.23,1
Moscow,Russia,MTS PJSC,Customers P2P 2020 25 WAN,AS8359 MTS PJSC,12****,55.75,37.62,1
Moscow,Russia,MTS PJSC,MTS PJSC,AS8359 MTS PJSC,14****,55.77,37.62,1
Moscow,Russia,PJSC Rostelecom,Rusfin1,AS12389 PJSC Rostelecom,14****,55.76,37.62,1
Moscow,Russia,Technology & Networks Co,Technology & Networks LLC,AS30833 Technology & Networks LLC,12****,55.75,37.62,1
Moscow Oblast,Russia,Okno-TV LLC,Okno-TV Ltd.,AS61396 Okno-TV LLC,14****,56.73,37.53,1
México,Mexico,Uninet S.A. de C.V.,UNINET,AS8151 UNINET,52***,19.24,-99.6,1
Nacional,Dominican Republic,Banco Multiple BHD Leon SA,Banco Multiple BHD Leon SA,AS271959 BANCO MULTIPLE BHD LEON SA,10***,18.46,-69.94,1
Nagano,Japan,"Research Organization of Information and Systems, National Institute of Informa",Shinshu University,"AS2907 Research Organization of Information and Systems, National Institute of Informatics",39******,35.82,137.95,1
Nagasaki,Japan,NTT Communications Corporation,Open Computer Network,AS4713 NTT Communications Corporation,83******,32.75,129.88,1
Nairobi County,Kenya,Safaricom Limited,Safaricom LTD,AS33771 Safaricom Limited,98**,-1.28,36.82,1
National Capital Territory of Delhi,India,TATA Communications Internet Services Ltd,PTIL,AS17820 DIRECT INTERNET LTD.,11****,28.64,77.29,1
Nebraska,United States,Union Pacific Railroad Company,Union Pacific Railroad Company,AS10405 Union Pacific Railroad Company,68***,41.26,-95.94,1
Nevada,United States,"CenturyLink Communications, LLC","CenturyLink Communications, LLC","AS209 CenturyLink Communications, LLC",89***,36.13,-115.28,1
Nevada,United States,State of Nevada,State of Nevada,AS21783 State of Nevada,89***,36.18,-115.17,1
New Brunswick,Canada,Bell Canada,Bell Aliant / FibreOp,AS855 Bell Canada,E3*,45.81,-66.68,1
New Brunswick,Canada,New Brunswick Department of Education and Early Childhood Development,New Brunswick Department of Education,AS17120 New Brunswick Department of Education and Early Childhood Development,E7*,46.55,-67.31,1
New Brunswick,Canada,Rogers Communications Canada Inc.,Rogers Communications Canada Inc,AS812 Rogers Communications Canada Inc.,E2*,45.26,-65.95,1
New Hampshire,United States,Comcast Cable Communications,"Comcast IP Services, L.L.C.","AS7015 Comcast Cable Communications, LLC",30**,43.04,-71.08,1
New Hampshire,United States,Dartmouth-Hitchcock Medical Center,Dartmouth Hitchcock Medical Center,AS11197 Dartmouth-Hitchcock Medical Center,32**,43.16,-71.4,1
New Jersey,United States,"Akamai Technologies, Inc.","Akamai Technologies, Inc.","AS16625 Akamai Technologies, Inc.",70**,40.79,-74.06,1
New Jersey,United States,Avaya Inc.,Avaya Inc,AS18676 Avaya Inc.,79**,40.7,-74.58,2
New Jersey,United States,Avaya Inc.,Avaya Inc.,AS18676 Avaya Inc.,79**,40.7,-74.58,2
New Jersey,United States,Cablevision Systems Corp.,Optimum Online (Cablevision Systems),AS6128 Cablevision Systems Corp.,88**,40.59,-74.62,1
New Jersey,United States,"Comcast Cable Communications, LLC","Comcast IP Services, L.L.C.","AS33659 Comcast Cable Communications, LLC",73**,40.72,-74.05,1
New Jersey,United States,FXDD,Unitas Global,AS54739 FXDD,73**,40.73,-74.04,1
New Jersey,United States,Nokia of America Corporation,Nokia of America Corporation,AS7345 Nokia of America Corporation,79**,40.68,-74.4,1
New Jersey,United States,Sprious LLC,"Blazing SEO, LLC",AS64267 Sprious LLC,70**,40.79,-74.06,1
New Jersey,United States,Static IP Services,Darlingt ON Swim,AS6128 Cablevision Systems Corp.,70**,40.85,-74.11,1
New Jersey,United States,Verizon Business,Cellco Partnership DBA Verizon Wireless,AS22394 Verizon Business,71**,40.74,-74.17,1
New Jersey,United States,Verizon Business,Verizon Business,AS22394 Verizon Business,71**,40.74,-74.17,1
New Jersey,United States,Verizon Business,Verizon Business,AS701 Verizon Business,70**,40.61,-74.42,1
New Jersey,United States,Verizon Business,Verizon Online LLC,AS701 Verizon Business,88**,40.39,-74.51,1
New Jersey,United States,Verizon Communications,Princeton Theological/Internet,AS701 Verizon Business,85**,40.34,-74.66,1
New Mexico,United States,CenturyLink,"CenturyLink, Inc","AS209 CenturyLink Communications, LLC",87***,35.11,-106.58,1
New South Wales,Australia,"AT&T Global Network Services, LLC",Manhattan Associates Inc,AS2687 AT&T Corp.,10**,-33.87,151.21,1
New South Wales,Australia,SingTel Optus Pty Ltd,Optus Internet Pty Ltd,AS4804 Microplex PTY LTD,20**,-33.87,151.2,1
New South Wales,Australia,Telstra Corporation Limited,Telstra Corporation,AS1221 Telstra Corporation Ltd,10**,-33.87,151.21,1
New South Wales,Australia,Telstra Corporation Limited,Telstra Corporation,AS1221 Telstra Corporation Ltd,21**,-33.71,150.96,1
New York,United States,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",10***,40.71,-74.01,5
New York,United States,"AT&T Services, Inc.","AT&T Global Network Services, LLC","AS7018 AT&T Services, Inc.",10***,40.71,-74.01,3
New York,United States,"AT&T Services, Inc.",AT&T Internet Services,"AS7018 AT&T Services, Inc.",10***,40.71,-74.01,1
New York,United States,Buffalo State College,New York State University College at Buffalo,AS19933 Buffalo State College,14***,42.92,-78.88,1
New York,United States,Cablevision Systems Corp.,Optimum Online (Cablevision Systems),AS6128 Cablevision Systems Corp.,11***,40.67,-73.46,1
New York,United States,Cablevision Systems Corp.,Purdue Pharamacy,AS54004 Optimum WiFi,10***,40.87,-73.87,1
New York,United States,CenturyLink,"CenturyLink, Inc","AS209 CenturyLink Communications, LLC",10***,40.71,-74.01,1
New York,United States,"CenturyLink Communications, LLC","CenturyLink Communications, LLC","AS209 CenturyLink Communications, LLC",10***,40.71,-74.01,2
New York,United States,"CenturyLink Communications, LLC","CenturyLink Communications, LLC","AS22561 CenturyLink Communications, LLC",10***,40.71,-74.01,1
New York,United States,"CenturyLink Communications, LLC","CenturyLink Communications, LLC","AS3561 CenturyLink Communications, LLC",10***,40.71,-74.01,2
New York,United States,Charter Communications,Spectrum,AS10838 Charter Communications Inc,10***,40.71,-74.01,1
