Anonymization_Configuration,mean_distance,median_distance,min_distance,max_distance,std_distance,percentile_1st,percentile_5th,percentile_10th,percentile_25th,percentile_75th,percentile_90th,percentile_95th,percentile_99th,exact_matches_%,near_matches_1pct_%,near_matches_5pct_%,near_matches_10pct_%
"DP MEPS, epsilon = 5.0",2.0282523961475416,2.0250144371139758,0.11940882144271636,5.309860741714053,1.0049744882723348,0.11940882144271636,0.11940882144271636,0.11964041942475134,1.4235150718668785,2.4809587872399166,3.1650543744589807,3.4955917260063116,4.7061784821747565,0.0,0.0,0.0,0.0
"DP MEPS, epsilon = 3.0",2.0207187751212383,2.010127077814533,0.08955853293881692,5.304891909385951,1.0006544212851916,0.08955853293881692,0.08955853293881692,0.08986709155160778,1.4261401028320468,2.484518923856282,3.169304700044172,3.492381707843095,4.705515717779351,0.0,0.0,0.0,11.781427668982944
"DP MEPS, epsilon = 1.0",2.133993044610416,2.0909377244904834,0.06836394460480057,5.144474843600431,1.0522975425789802,0.06836394460480057,0.06836394460480057,0.13606784841302885,1.4411983698335116,2.834043340636056,3.2492174046654125,3.7559349231777968,4.706952333784626,0.0,0.0,0.0,9.229311433986103
"DP MEPS, epsilon = 0.5",2.1953819816774005,2.4502382055595056,0.07813461108124431,5.354640589990418,1.0140426336744222,0.07813461108124431,0.07813461108124431,0.26803836099131173,1.679295049266572,2.833163679728713,3.4646607157960365,3.7513069383190283,4.472521389328669,0.0,0.0,0.0,9.879974731522426
"Combined MEPS, k = 3 + epsilon = 0.5",2.3997034201492453,2.268528615381511,1.0023328326530085,5.8347041772485015,1.0316159849482849,1.0034369139543244,1.0034369139543244,1.004195265690723,1.7432320438270055,3.0072288627029584,3.878585493794578,4.441694946739043,5.418769193125194,0.0,0.0,0.0,0.0
"Combined MEPS, k = 3 + epsilon = 1.0",2.2475326189725995,2.245018074509306,1.0029552849765513,5.777450102275679,1.0447043358764265,1.0029552849765513,1.0040586818181345,1.0048165642961173,1.2192099642310956,2.7777037343396587,3.6245319987774365,4.189920751771515,5.2468080992619495,0.0,0.0,0.0,0.0
"Combined MEPS, k = 3 + epsilon = 3.0",2.22240820751764,2.2519818694237217,1.0039961524202905,5.853335891299589,0.9526425594419325,1.0039961524202905,1.0057178936894793,1.006474526769896,1.7357969273612297,2.722440412792703,3.4706331986850856,3.9716877262350803,5.139235161055936,0.0,0.0,0.0,0.0
"Combined MEPS, k = 5 + epsilon = 0.5",2.6618745738653904,2.281071464108309,1.7333987156491735,5.919748764320469,0.837631327030721,1.734037381455826,1.7344763277818644,1.7485576244705456,2.2373287566975257,3.0240958213125393,3.928807412443522,4.422922426833207,5.3053521035410665,0.0,0.0,0.0,0.0
"Combined MEPS, k = 5 + epsilon = 1.0",2.533439351126083,2.263901292698727,1.733758721293824,5.78129386470098,0.8274980393931329,1.7343972545337962,1.7343972545337962,1.7343972545337962,1.7510921259603385,3.0376939078991865,3.68352493609222,4.20895714938814,4.897700947918466,0.0,0.0,0.0,0.0
"Combined MEPS, k = 5 + epsilon = 3.0",2.504688438510525,2.285502690499958,1.7343610564339673,5.88323446590768,0.7653773125718204,1.7343610564339673,1.7353583150713292,1.7357969273612297,1.7884581469445813,2.756543560931923,3.6066616522866055,3.962619434957096,5.013572891495432,0.0,0.0,0.0,0.0
