Anonymization_Configuration,mean_distance,median_distance,min_distance,max_distance,std_distance,percentile_1st,percentile_5th,percentile_10th,percentile_25th,percentile_75th,percentile_90th,percentile_95th,percentile_99th,exact_matches_%,near_matches_1pct_%,near_matches_5pct_%,near_matches_10pct_%
"DP Bank Marketing, epsilon = 5.0",0.9386364457164765,0.7613643172997417,0.09933816282867684,15.042202859997852,0.6537870573165052,0.10427462064804026,0.11210459867803835,0.12751006179827468,0.5115913700420547,1.4973390917090323,1.5421962214087952,2.0099092090613007,2.5497082065504224,0.0,0.0,0.0,0.021851024570263184
"DP Bank Marketing, epsilon = 1.0",0.9622177965628056,0.7726813243534353,0.10099487631941856,12.017997430828544,0.7241639171530551,0.10258621732437531,0.10941486085440225,0.13573008016436441,0.533651375727636,1.4847996050086116,1.5385569955877108,2.030736023847647,2.5608792656460344,0.0,0.0,0.0,0.0
"DP Bank Marketing, epsilon = 0.5",1.0299703972484748,0.7730825843781126,0.08986702135333732,10.822301442096299,0.8655913395406029,0.09097986914375916,0.09952745807747587,0.11963805508282253,0.5431368677959154,1.5032603454677942,1.6895606391664468,2.1057568968405453,3.948663674951701,0.0,0.0,0.0,5.513741866563077
"DP Bank Marketing, epsilon = 0.1",1.6069954851148947,1.5180328724987482,0.48412788807747564,12.194307721977001,1.3724992153319753,0.5148032166221056,0.5552827665041672,0.6183226542838862,0.8127002658139939,1.738646800711925,2.0963721000416196,2.5017059993432365,9.669813441475045,0.0,0.0,0.0,0.0
"Combined Bank Marketing, k = 3 + epsilon = 0.5",1.09996565550773,0.8509057732853409,0.2753432587888999,10.838190067311373,0.7297119065435758,0.32886827780151223,0.3476430327976512,0.4325464780018189,0.6332816463403516,1.547451786446135,1.652132229565118,2.09982736767763,2.822028631282442,0.0,0.0,0.0,0.0
"Combined Bank Marketing, k = 3 + epsilon = 1.0",1.0832596760862194,0.8496845300642903,0.2751747261754661,11.08643018266704,0.6791217552191865,0.33390645333851315,0.38420052036249086,0.43386039617791405,0.6439233135485873,1.5441403773254199,1.6529338119057464,2.096749010698294,2.604808182758452,0.0,0.0,0.0,0.0
"Combined Bank Marketing, k = 3 + epsilon = 3.0",1.056936397791016,0.8483693752615179,0.2801841320453902,11.696161460742637,0.5682254050091763,0.34064145185723166,0.3863359524847837,0.43571482684280655,0.6442516860099088,1.5451290248020844,1.6463697614981285,2.0908989752243814,2.5856182132171486,0.0,0.0,0.0,0.0
"Combined Bank Marketing, k = 5 + epsilon = 0.5",1.0834041581574296,0.8472762940100627,0.2753432587888999,12.21650886156832,0.8460809942436056,0.33174688020879484,0.3476430327976512,0.4325464780018189,0.6332816463403516,1.5379513415218626,1.6391207098977973,2.093367449080244,2.837423074713207,0.0,0.0,0.0,0.0
"Combined Bank Marketing, k = 5 + epsilon = 1.0",1.0566565030213062,0.8467123904212727,0.27821174089464956,11.324152262123489,0.6114858711054888,0.33989725587288117,0.38638152478177873,0.43579293961415366,0.6456609720737689,1.544865807121946,1.6413031394274247,2.072705894324775,2.583890196489838,0.0,0.0,0.0,0.0
"Combined Bank Marketing, k = 5 + epsilon = 3.0",1.0564342212003923,0.8471043013200316,0.2801841320453902,15.854823002641986,0.5955910853037621,0.34064145185723166,0.3863359524847837,0.43571482684280655,0.6371335200720901,1.5451310532434372,1.6512004630056336,2.0908989752243814,2.586166093149044,0.0,0.0,0.0,0.0
