City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System,IP_Masked
British Columbia,British Columbia,Canada,V8T,48.4527,-123.37,America/Vancouver,Province of British Columbia,Other,AS3633 Province of British Columbia,142.xxx.xxx.xxx
Ontario,Ontario,Canada,L4C,43.8678,-79.442,America/Toronto,Rogers Communications Canada Inc.,Other,AS812 Rogers Communications Canada Inc.,99.xxx.xxx.xxx
Arizona,Arizona,United States,85706,32.1453,-110.9456,America/Phoenix,City of Tucson,Other,AS13918 City of Tucson,166.xxx.xxx.xxx
Michigan,Michigan,United States,48121,42.3223,-83.1763,America/Detroit,Ford Motor Company,Ford Motor Company,,19.xxx.xxx.xxx
Alabama,Alabama,United States,36426,31.1294,-87.0961,America/Chicago,Mediacom Communications,Other,AS30036 Mediacom Communications Corp,173.xxx.xxx.xxx
São Paulo,São Paulo,Brazil,01000-000,-23.5558,-46.6396,America/Sao_Paulo,Vivo,TELEF�NICA BRASIL S.A,AS26599 TELEFÔNICA BRASIL S.A,187.xxx.xxx.xxx
Massachusetts,Massachusetts,United States,1111,42.1169,-72.5476,America/New_York,Massachusetts Mutual Life Insurance Co.,Other,,170.xxx.xxx.xxx
Ohio,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,29.xxx.xxx.xxx
District of Columbia,District of Columbia,United States,20068,38.9072,-77.0369,America/New_York,"AT&T Services, Inc.",Other,"AS7018 AT&T Services, Inc.",99.xxx.xxx.xxx
England,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Microsoft Limited,Microsoft Limited,,135.xxx.xxx.xxx
England,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,UK Ministry of Defence,UK Ministry of Defence,,25.xxx.xxx.xxx
Beijing,Beijing,China,,39.959,116.455,Asia/Shanghai,CHINANETCENTER,Other,,220.xxx.xxx.xxx
Beijing,Beijing,China,100000,39.9042,116.407,Asia/Shanghai,HWCSNET,Huawei Public Cloud Service,,180.xxx.xxx.xxx
Alberta,Alberta,Canada,T2R,51.0447,-114.072,America/Edmonton,Amazon Technologies Inc,Other,,40.xxx.xxx.xxx
Virginia,Virginia,United States,20120,38.8397,-77.4335,America/New_York,American Registry Internet Numbers,Other,,23.xxx.xxx.xxx
Texas,Texas,United States,77056,29.7446,-95.464,America/Chicago,Apache Corporation,Other,,157.xxx.xxx.xxx
New York,New York,United States,14609,43.1537,-77.5667,America/New_York,ICL,Other,,192.xxx.xxx.xxx
Victoria,Victoria,Australia,3047,-37.6763,144.93,Australia/Melbourne,Ericsson Inc.,Other,AS158 Ericsson Inc.,146.xxx.xxx.xxx
Beijing,Beijing,China,100000,39.9042,116.407,Asia/Shanghai,CHINA UNICOM China169 Backbone,Other,AS4837 CHINA UNICOM China169 Backbone,221.xxx.xxx.xxx
New Jersey,New Jersey,United States,7920,40.6954,-74.5785,America/New_York,Avaya Inc.,Other,AS18676 Avaya Inc.,135.xxx.xxx.xxx
Tamil Nadu,Tamil Nadu,India,600001,13.081185,80.27178,Asia/Kolkata,Microsoft Corporation,Other,AS8075 Microsoft Corporation,74.xxx.xxx.xxx
Washington,Washington,United States,98513,46.9961,-122.7381,America/Los_Angeles,Pierce County,Other,AS33348 Pierce County,162.xxx.xxx.xxx
Beijing,Beijing,China,,39.9136,116.363,Asia/Shanghai,CTTNET,China TieTong Telecommunications Corporation,,110.xxx.xxx.xxx
California,California,United States,94520,37.974,-122.033,America/Los_Angeles,Bank of America,"Bank of America, National Association",,171.xxx.xxx.xxx
North Carolina,North Carolina,United States,,35.5756,-81.2117,America/New_York,Apple Inc.,Other,AS714 Apple Inc.,17.xxx.xxx.xxx
Beijing,Beijing,China,100000,39.9042,116.407,Asia/Shanghai,China Unicom Shenzen network,Other,AS17623 China Unicom Shenzen network,58.xxx.xxx.xxx
England,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Bell Canada,Other,,142.xxx.xxx.xxx
Virginia,Virginia,United States,22031,38.8616,-77.2663,America/New_York,Inova Health System Foundation,Other,AS393861 Inova Health System Foundation,167.xxx.xxx.xxx
Michigan,Michigan,United States,48121,42.3223,-83.1763,America/Detroit,Ford Motor Company,Ford Motor Company,,19.xxx.xxx.xxx
Île-de-France,Île-de-France,France,75000,48.8566,2.35222,Europe/Paris,TVCCONV,Other,,92.xxx.xxx.xxx
Beijing,Beijing,China,,39.9136,116.363,Asia/Shanghai,CTTNET,China TieTong Telecommunications Corporation,,110.xxx.xxx.xxx
Hesse,Hesse,Germany,65760,50.1313,8.57003,Europe/Berlin,ARCOR-IP,Other,AS3209 Vodafone GmbH,145.xxx.xxx.xxx
Saitama,Saitama,Japan,330-9301,35.8691,139.6582,Asia/Tokyo,Sony Network Communications Inc,Other,AS2527 Sony Network Communications Inc.,121.xxx.xxx.xxx
New York,New York,United States,10123,40.7128,-74.006,America/New_York,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",76.xxx.xxx.xxx
São Paulo,São Paulo,Brazil,01000-000,-23.5558,-46.6396,America/Sao_Paulo,TIM S/A,Other,AS26615 TIM S/A,179.xxx.xxx.xxx
North Rhine-Westphalia,North Rhine-Westphalia,Germany,48346,52.0338,7.83333,Europe/Berlin,UNI-X,Other,AS12371 Avency GmbH,195.xxx.xxx.xxx
North Carolina,North Carolina,United States,27668,35.838,-78.6122,America/New_York,United States Postal Service.,United States Postal Service,,56.xxx.xxx.xxx
Moscow,Moscow,Russia,125310,55.7483,37.6171,Europe/Moscow,Technology & Networks Co,Other,AS30833 Technology & Networks LLC,79.xxx.xxx.xxx
California,California,United States,94304,37.4146,-122.146,America/Los_Angeles,Hewlett Packard Enterprise Company,Hewlett Packard Enterprise Company,,16.xxx.xxx.xxx
