Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
Virginia,United States,20***,38.8,-77.4,America/New_York,American Registry Internet Numbers,American Registry Internet Numbers,
,,,,,,,,
Cairo Governorate,Egypt,,30.0,31.2,Africa/Cairo,Etisalat Misr,Mobile,AS36992 ETISALAT MISR
Texas,United States,77***,29.7,-95.5,America/Chicago,Apache Corporation,Apache Corporation,
,,,,,,,,
New York,United States,14***,43.2,-77.6,America/New_York,ICL,"ICL, Inc.",
,,,,,,,,
Victoria,Australia,30**,-37.7,144.9,Australia/Melbourne,Ericsson Inc.,Eric,AS158 Ericsson Inc.
Beijing,China,10****,39.9,116.4,Asia/Shanghai,CHINA UNICOM China169 Backbone,Jnsib Ibar,AS4837 CHINA UNICOM China169 Backbone
New Jersey,United States,79**,40.7,-74.6,America/New_York,Avaya Inc.,Avaya Inc.,AS18676 Avaya Inc.
Tamil Nadu,India,60****,13.1,80.3,Asia/Kolkata,Microsoft Corporation,Microsoft Azure Cloud (southindia),AS8075 Microsoft Corporation
Washington,United States,98***,47.0,-122.7,America/Los_Angeles,Pierce County,Pierce County,AS33348 Pierce County
Silesia,Poland,42****,50.7,19.0,Europe/Warsaw,"IntegraDesign, Mariusz Barczyk","IntegraDesign, Mariusz Barczyk","AS61154 IntegraDesign, Mariusz Barczyk"
,,,,,,,,
Mecklenburg-Vorpommern,Germany,19***,53.4,10.7,Europe/Berlin,Vodafone D2 GmbH,ARCOR-IP,AS3209 Vodafone GmbH
Beijing,China,,39.9,116.4,Asia/Shanghai,CTTNET,China TieTong Telecommunications Corporation,
California,United States,94***,38.0,-122.0,America/Los_Angeles,Bank of America,"Bank of America, National Association",
North Carolina,United States,,35.6,-81.2,America/New_York,Apple Inc.,Apple Inc,AS714 Apple Inc.
,,,,,,,,
Beijing,China,10****,39.9,116.4,Asia/Shanghai,China Unicom Shenzen network,HengShengChang Paper,AS17623 China Unicom Shenzen network
England,United Kingdom,W1*,51.5,-0.1,Europe/London,Bell Canada,Bell Canada,
Virginia,United States,22***,38.9,-77.3,America/New_York,Inova Health System Foundation,Inova Health System Foundation,AS393861 Inova Health System Foundation
Michigan,United States,48***,42.3,-83.2,America/Detroit,Ford Motor Company,Ford Motor Company,
Île-de-France,France,75***,48.9,2.4,Europe/Paris,TVCCONV,France Telecom services,
Hauts-de-France,France,62***,50.9,1.9,Europe/Paris,ProXad network / Free SAS,Proxad / Free SAS,AS12322 Free SAS
Beijing,China,,39.9,116.4,Asia/Shanghai,CTTNET,China TieTong Telecommunications Corporation,
Hesse,Germany,65***,50.1,8.6,Europe/Berlin,ARCOR-IP,Arcor AG & Co,AS3209 Vodafone GmbH
Saitama,Japan,33******,35.9,139.7,Asia/Tokyo,Sony Network Communications Inc,Sony Network Communications Inc.,AS2527 Sony Network Communications Inc.
New York,United States,10***,40.7,-74.0,America/New_York,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc."
São Paulo,Brazil,01*******,-23.6,-46.6,America/Sao_Paulo,TIM S/A,TIM S/A,AS26615 TIM S/A
Occitanie,France,34***,43.6,3.9,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,,AS15557 Societe Francaise Du Radiotelephone - SFR SA
North Rhine-Westphalia,Germany,48***,52.0,7.8,Europe/Berlin,UNI-X,BEWATEC Kommunikationstechnik GmbH,AS12371 Avency GmbH
North Carolina,United States,27***,35.8,-78.6,America/New_York,United States Postal Service.,United States Postal Service,
Moscow,Russia,12****,55.7,37.6,Europe/Moscow,Technology & Networks Co,Technology & Networks LLC,AS30833 Technology & Networks LLC
California,United States,94***,37.4,-122.1,America/Los_Angeles,Hewlett Packard Enterprise Company,Hewlett Packard Enterprise Company,
,,,,,,,,
Washington,United States,98***,47.5,-122.3,America/Los_Angeles,Hostwinds LLC.,Hostwinds LLC,AS54290 Hostwinds LLC.
Colorado,United States,80***,39.6,-104.9,America/Denver,Spectrum,Charter Communications Inc,
