City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
Skellefteå,Västerbotten County,Sweden,931 55,65.0,21.0,Europe/Stockholm,Telia Company AB,Returpack-Burk Svenska AB,AS3301 Telia Company AB
Atlanta,Georgia,United States,30302,34.0,-84.0,America/New_York,AT&T Mobility LLC,Service Provider Corporation,AS20057 AT&T Mobility LLC
Concord,California,United States,94520,38.0,-122.0,America/Los_Angeles,Bank of America,"Bank of America, National Association",
New York,New York,United States,10123,41.0,-74.0,America/New_York,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc."
Vilnius,Vilnius,Lithuania,2007,55.0,25.0,Europe/Vilnius,Kauno Technologijos Universitetas,Vilniaus universitetas,AS5479 Kauno Technologijos Universitetas
Princeton,New Jersey,United States,8540,40.0,-75.0,America/New_York,Verizon Communications,Princeton Theological/Internet,AS701 Verizon Business
Whitehall,Ohio,United States,43218,40.0,-83.0,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Ashburn,Virginia,United States,20149,39.0,-77.0,America/New_York,Africa on Cloud,Cloud Innovation Ltd,AS328608 Africa on Cloud
,,,,,,,,,
Tempe,Arizona,United States,85285,33.0,-112.0,America/Phoenix,"Akamai Technologies, Inc.","Akamai Technologies, Inc.","AS16625 Akamai Technologies, Inc."
Auckland,Auckland,New Zealand,627,-37.0,175.0,Pacific/Auckland,Sky Network Television Ltd,Two Degrees Mobile Limited,AS140220 Sky Network Television Ltd
Gangbuk-gu,Seoul,South Korea,10,38.0,127.0,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
Whitehall,Ohio,United States,43218,40.0,-83.0,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Dallas,Texas,United States,75214,33.0,-97.0,America/Chicago,"Haynes and Boone, L.L.P.","Haynes and Boone, L.L.P.","AS14890 Haynes and Boone, L.L.P."
Chisinau,Chișinău Municipality,Moldova,MD-2000,47.0,29.0,Europe/Chisinau,SC STARNET SRL,StarNet Solutii SRL,AS31252 StarNet Solutii SRL
Xiaolou,Guangdong,China,,23.0,114.0,Asia/Shanghai,CHINANET-GD,Chinanet GD,
