2755.0,"Disc Jockeys, Except Radio","Arts & Entertainment","Arts & Media","*"
2770.0,"Entertainers And Performers, Sports and Related Workers, All Other","Arts & Entertainment","Arts & Media","*"
2805.0,"Broadcast Announcers And Radio Disc Jockeys","Arts & Entertainment","Arts & Media","*"
2810.0,"News Analysts, Reporters, And Journalists","Arts & Entertainment","Arts & Media","*"
2825.0,"Public Relations Specialists","Arts & Entertainment","Arts & Media","*"
2830.0,"Editors","Arts & Entertainment","Arts & Media","*"
2840.0,"Technical Writers","Arts & Entertainment","Arts & Media","*"
2850.0,"Writers And Authors","Arts & Entertainment","Arts & Media","*"
2861.0,"Interpreters and Translators","Arts & Entertainment","Arts & Media","*"
2862.0,"Court Reporters and Simultaneous Captioners","Arts & Entertainment","Arts & Media","*"
2865.0,"Media And Communication Workers, All Other","Arts & Entertainment","Arts & Media","*"
2905.0,"Other Media And Communication Equipment Workers","Arts & Entertainment","Arts & Media","*"
2910.0,"Photographers","Arts & Entertainment","Arts & Media","*"
2920.0,"Television, Video, And Film Camera Operators And Editors","Arts & Entertainment","Arts & Media","*"
3000.0,"Chiropractors","Healthcare Practitioners","Healthcare","*"
3010.0,"Dentists","Healthcare Practitioners","Healthcare","*"
3030.0,"Dietitians And Nutritionists","Healthcare Practitioners","Healthcare","*"
3040.0,"Optometrists","Healthcare Practitioners","Healthcare","*"
3050.0,"Pharmacists","Healthcare Practitioners","Healthcare","*"
3090.0,"Physicians","Healthcare Practitioners","Healthcare","*"
3100.0,"Surgeons","Healthcare Practitioners","Healthcare","*"
3110.0,"Physician Assistants","Healthcare Practitioners","Healthcare","*"
3120.0,"Podiatrists","Healthcare Practitioners","Healthcare","*"
3140.0,"Audiologists","Healthcare Practitioners","Healthcare","*"
3150.0,"Occupational Therapists","Healthcare Practitioners","Healthcare","*"
3160.0,"Physical Therapists","Healthcare Practitioners","Healthcare","*"
3200.0,"Radiation Therapists","Healthcare Practitioners","Healthcare","*"
3210.0,"Recreational Therapists","Healthcare Practitioners","Healthcare","*"
3220.0,"Respiratory Therapists","Healthcare Practitioners","Healthcare","*"
3230.0,"Speech-Language Pathologists","Healthcare Practitioners","Healthcare","*"
3245.0,"Other Therapists","Healthcare Practitioners","Healthcare","*"
3250.0,"Veterinarians","Healthcare Practitioners","Healthcare","*"
3255.0,"Registered Nurses","Healthcare Practitioners","Healthcare","*"
3256.0,"Nurse Anesthetists","Healthcare Practitioners","Healthcare","*"
3258.0,"Nurse Practitioners, And Nurse Midwives","Healthcare Practitioners","Healthcare","*"
3261.0,"Acupuncturists","Healthcare Practitioners","Healthcare","*"
3270.0,"Healthcare Diagnosing Or Treating Practitioners, All Other","Healthcare Practitioners","Healthcare","*"
